genotype	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
WATDE0206	0.0335622	0.018277	-0.0284986	0.025954	-0.00448533	0.0151404	-0.0290731	-0.104901	0.0155357	-0.0722489
WATDE0207	0.0304497	0.0239376	-0.0358912	0.0126925	-0.00105824	0.00924565	-0.0295795	-0.0888622	-0.005241	0.00506718
WATDE0209	0.0250272	0.035857	-0.0356664	-0.0107924	-0.0033836	0.000985948	-0.0277481	-0.0712815	-0.0322459	0.0910806
WATDE0211	0.0309142	0.0203241	-0.0249879	0.0175858	-0.0063775	0.016752	-0.0222321	-0.110257	0.0211903	-0.0879035
WATDE0212	0.0207114	0.0543865	0.00570439	-0.0326484	0.00727795	-0.0136033	0.0152048	0.0210715	0.0200768	-0.00117481
WATDE0214	0.0104157	0.0150027	-0.0260077	0.026023	0.0223608	0.0208773	-0.0145694	0.0259706	-0.0330165	0.00231168
WATDE0215	-0.0265415	0.0303083	-0.0309708	0.010072	0.0317909	0.012665	0.040883	0.00505762	-0.0757435	0.0187115
WATDE0216	0.0345485	0.00443544	-0.0242109	0.0290376	-0.000990575	0.0138103	-0.0386438	0.00995358	-0.0064208	-0.0141044
WATDE0217	0.0312099	0.01975	-0.0250865	0.020512	-0.00491187	0.0113487	-0.0245064	-0.0970891	0.0161909	-0.0686955
WATDE0219	-0.00909701	0.0490857	-0.00399815	-0.0151363	0.0312115	0.00443328	0.032645	0.0190222	-0.056078	0.0340049
WATDE0220	0.00916707	0.00858764	-0.0345608	0.039704	0.0206254	0.0276579	-0.0261368	0.0322106	-0.0197001	-0.00929937
WATDE0221	-0.0170438	0.016175	-0.0062585	0.00269615	0.0187776	0.00423481	0.0679101	-0.010459	-0.048088	0.00921273
WATDE0222	0.0116656	-0.0798066	-0.113463	-0.153163	-0.0735479	0.100159	-0.0149753	0.00882595	0.0510365	-0.0759754
WATDE0223	0.00750407	0.0192167	-0.0276315	0.0215547	0.0184916	0.022198	0.0212942	-0.0950013	-0.00955882	-0.0761475
WATDE0224	-0.00366167	0.0473706	0.0116093	-0.0334961	0.0192879	-0.00739454	0.0489977	0.00209402	-0.0591307	0.0226406
WATDE0225	0.0197167	0.0429481	-0.0157025	-0.0129935	0.00477067	-0.00651805	-0.00115082	-0.0339866	-0.0276815	0.0592298
WATDE0227	0.0284286	-0.00856032	-0.0104006	0.0277599	0.00107156	-0.00366006	0.0166398	-0.0344056	-0.00402095	0.031189
WATDE0228	0.0258723	-0.00114163	-0.0160686	0.0311883	0.000458559	0.00180146	-0.000214733	-0.0243579	-0.00760823	0.0179628
WATDE0229	0.0215829	0.0342506	-0.0132626	-0.00213972	-0.000847998	-0.00962239	-0.00581188	-0.0322082	-0.0106697	0.0352545
WATDE0230	0.019849	0.0419131	-0.0129373	-0.0191827	0.000766191	-0.00829256	-0.00425518	-0.0290074	-0.000898571	0.0260555
WATDE0232	0.0227357	0.0357626	-0.0177887	-0.0149124	-0.000208345	-0.00663292	-0.0160241	-0.0447636	-0.019747	0.0585737
WATDE0233	0.0202389	0.063242	0.0112188	-0.0371087	0.00884373	-0.0159635	0.0113179	0.03442	0.0339025	-0.0129616
WATDE0234	0.0203334	0.0418196	0.00868839	-0.0216136	0.00893826	-0.0133991	0.0346535	-0.0252832	-0.0209087	-0.00236829
WATDE0235	0.0295948	0.017072	-0.0267684	0.0133936	-0.00766393	0.0151759	-0.0189177	-0.0927398	0.0149291	-0.0688437
WATDE0236	0.0227163	0.0357604	-0.0177676	-0.0149173	-0.000204675	-0.00664739	-0.0160199	-0.0447383	-0.0197317	0.0585815
WATDE0237	0.0265398	-0.00206946	-0.0417275	0.0681215	0.00836947	0.0329978	-0.0641687	0.0489764	-0.0209667	-0.00419717
WATDE0238	0.0274074	0.0309471	-0.0167928	0.00504377	0.00122743	0.00395358	-0.00915173	-0.0467141	0.00981904	-0.0252864
WATDE0239	0.0265001	0.0298634	-0.0137506	0.00305169	-0.00350127	0.00415319	-0.0138414	-0.0411403	0.00278609	-0.0282236
WATDE0241	0.0250398	0.0147391	-0.00353529	0.0228225	-0.000758255	-0.00300613	0.00384135	-0.0240981	0.0120313	-0.0217867
WATDE0242	0.0346255	0.00908423	-0.0249683	0.0357256	0.000421092	0.00365632	-0.00297459	-0.100194	0.00448182	-0.0584284
WATDE0243	0.0344814	0.00596791	-0.0150037	0.0306711	-0.000810129	0.00762569	0.000498913	-0.0646507	0.00548055	-0.0673426
WATDE0244	0.0348905	0.00584786	-0.0151158	0.0308335	-0.000751756	0.00795526	0.000249854	-0.0649897	0.00562501	-0.0680683
WATDE0246	0.0337434	0.00469915	-0.0264905	0.0463343	-0.00551492	0.0174106	-0.0469176	0.0282347	-0.00583897	-0.00258929
WATDE0247	0.0163286	0.0193914	-0.00337857	0.0215536	0.00146951	-0.000593057	-0.00923004	0.00944754	-0.00353986	0.00210484
WATDE0248	0.0178495	0.0554082	0.0100433	-0.0290723	0.00772744	-0.0135824	0.00678447	0.0247771	0.0262785	-0.0153712
WATDE0249	0.0177116	0.0553066	0.00998311	-0.0289131	0.00767918	-0.0136345	0.00684985	0.0245925	0.0260722	-0.0152302
WATDE0250	0.0304699	-0.0370163	0.0203555	0.0159399	-0.0150036	-0.00813163	0.0281293	-0.00289194	-0.000974368	0.0240783
WATDE0252	0.0251596	-0.0253701	0.0214465	0.0181007	-0.0172723	-0.00410494	0.00500658	0.0241492	0.00207226	0.0121122
WATDE0253	0.0249774	-0.0252158	0.0213804	0.0180835	-0.0172602	-0.00423935	0.00507043	0.0240002	0.00198514	0.0120842
WATDE0254	0.0194531	0.0274118	-0.006955	-0.00819682	-0.000478909	-0.00408343	0.00552443	-0.0222991	-0.00842114	0.02643
WATDE0255	0.0175935	0.0275079	-0.00623595	-0.00865732	-0.000922546	-0.00528386	0.00501925	-0.0238901	-0.00887617	0.0249703
WATDE0257	0.0287802	-0.0178978	0.0233659	0.00392571	-0.0109287	-0.0117331	0.0348075	0.00557628	-0.000126624	0.0158982
WATDE0258	0.0371955	-0.0161401	-0.00554568	0.0306454	0.00518356	-0.0100572	0.0629531	-0.0482835	-0.00486193	0.0412585
WATDE0259	-0.0324642	0.0250559	-0.0238565	-0.0234239	0.0485076	0.0367408	0.092057	0.0175023	-0.106706	0.000797412
WATDE0260	-0.0323982	0.0250954	-0.0238252	-0.0236632	0.0487578	0.0369832	0.0925404	0.0175555	-0.107122	0.000821483
WATDE0262	0.0107045	0.013101	-0.00525525	0.00705299	0.0164785	-0.00419508	0.0727123	-0.0323974	-0.0567307	0.00640037
WATDE0263	-0.00660188	0.0392705	0.00807723	-0.0200588	0.0198912	-0.00113826	0.0505789	0.00112576	-0.0504736	0.0197806
WATDE0264	0.0250365	0.0214002	-0.0213597	0.00746133	-0.00155256	-0.00362804	0.0028114	-0.0715049	-0.000215785	0.00169548
WATDE0266	0.0186449	0.0409555	-0.00892708	-0.0253778	-0.0017019	-0.00846329	0.000454382	-0.0249383	-0.0103001	0.0225615
WATDE0268	0.0196344	0.010072	-0.000723211	0.010981	0.000253968	-0.00465801	0.00781265	0.00134747	0.0165011	0.0139823
WATDE0270	0.0252332	0.0260838	-0.0117243	0.00480342	7.20E-05	0.00145339	-0.00716504	-0.0410273	0.000324615	0.00386391
WATDE0271	0.00839977	0.0131542	-0.00757457	0.00958155	0.0191828	-0.00374529	0.0735579	-0.0303811	-0.0572728	0.00248239
WATDE0272	0.0370629	-0.0159763	-0.00552565	0.0306439	0.00526888	-0.0101126	0.0625445	-0.0482214	-0.00514156	0.0411745
WATDE0273	0.0348015	0.00619546	-0.0178527	0.0215701	0.00483205	0.00229425	0.0342408	-0.09467	0.00648854	-0.0450271
WATDE0275	0.0261	-0.040845	0.0174191	0.0133671	-0.00936258	-0.0122107	0.0478124	-0.0199548	-0.0114425	0.0275497
WATDE0276	0.0254202	-0.101314	-0.00440304	-0.0766462	0.163384	-0.0615278	-0.0381665	-0.0107794	-0.0346109	0.011597
WATDE0277	0.00695581	0.00490558	-0.00878049	0.0124271	0.0163724	-0.00166649	0.0755948	-0.0355119	-0.0542497	0.000683709
WATDE0278	0.0145423	-0.015539	0.0199586	0.0160121	-0.000926559	-0.0036632	0.0266806	0.00412197	-0.0141427	-0.0087652
WATDE0280	0.0323587	0.00712117	-0.0232513	0.0437669	-0.00502707	0.014443	-0.0431693	0.0246579	-0.00432801	-0.00169623
WATDE0281	0.0201843	0.027085	-0.0227689	-0.00573105	-0.00895715	-0.0166808	-0.0243854	-0.0373145	-0.0107268	0.0574188
WATDE0282	0.0302509	-0.00224327	-0.0207419	-0.0074989	-0.00905589	0.0181448	-0.0100971	0.0128321	-0.0025901	0.0268125
WATDE0284	0.0361891	0.0125417	-0.0262182	0.0281984	-0.000522748	0.00882498	-0.000316847	-0.143	0.0263235	-0.104677
WATDE0285	0.0342314	0.00229632	-0.0194742	0.0163114	0.00141833	0.0168255	-0.013397	0.0195474	-0.0194021	0.0364747
WATDE0286	0.0333789	0.00125263	-0.00445676	0.00393472	0.00376035	0.000913971	0.0416946	-0.0228041	-0.0142469	0.0150016
WATDE0287	0.026144	0.0145329	-0.0271225	0.0112823	-0.00407929	0.00343994	-0.0204909	-0.0267687	-0.0163665	0.0500541
WATDE0288	0.0195324	0.00545225	0.00176081	-0.0342583	-0.0204401	-0.00142096	-0.0122695	-0.025584	-0.0257657	0.0746092
WATDE0290	0.0262752	0.00748746	-0.0300211	-0.0130737	-0.00994712	0.0183083	-0.0176251	-0.0339825	-0.00636153	0.0128664
WATDE0291	0.0310426	-0.0676289	-0.0573536	-0.0563302	-0.0639616	0.0551384	-0.0568815	0.0242772	0.0112292	0.0144432
WATDE0293	0.0217185	0.0527047	0.0064842	-0.0232716	0.00391117	-0.0109207	-0.0035303	0.0171464	0.0130365	-0.0100988
WATDE0294	0.010991	-0.0547471	-0.0390486	-0.139222	-0.0624051	0.0683187	-0.0085006	0.0428248	0.0433259	-0.0300283
WATDE0296	0.021699	0.0526394	0.00642889	-0.0231766	0.00390184	-0.0109057	-0.00348823	0.0168891	0.0129792	-0.0101539
WATDE0298	0.0235495	0.0365585	-0.00849575	0.00297195	0.00473353	0.00753428	-0.0266245	0.0285929	0.00762167	-0.00297135
WATDE0299	0.0226231	0.0479346	-0.00105347	-0.0128941	0.00284408	-0.00231953	-0.00605056	-0.0304314	0.0266496	-0.0499295
WATDE0301	0.0223405	0.0478235	-0.00103513	-0.0127995	0.0027723	-0.00251848	-0.00585501	-0.0303473	0.0263902	-0.049473
WATDE0302	0.0304463	0.0284385	-0.0134107	0.00603388	0.00250916	0.00106921	0.00757691	-0.0954019	0.0298269	-0.089007
WATDE0303	0.0357897	0.0125396	-0.0260072	0.0279907	-0.000518727	0.00862498	-0.000273921	-0.141321	0.0260115	-0.103468
WATDE0304	0.0239866	0.0269597	-0.0106346	0.0162362	-0.000491383	0.00275034	-0.0187298	-0.0191636	0.0105623	-0.0436544
WATDE0305	0.0362006	0.0123789	-0.0264206	0.0283045	-0.000667718	0.00888593	-0.000834217	-0.143453	0.0270324	-0.106084
WATDE0306	0.0291528	0.0272991	-0.0139334	0.0144209	0.00127541	0.00176084	-2.67E-05	-0.102364	0.0234549	-0.084625
WATDE0308	0.00800923	0.040809	0.00302456	-0.013879	0.000373753	-0.00830204	-0.00242512	-0.015402	0.0110461	-0.0409102
WATDE0310	0.0146899	0.0264404	-0.0192759	-0.012145	-0.00924786	-0.0209234	0.00338438	-0.0245338	-0.00612096	0.0221477
WATDE0312	-0.0311282	0.0191618	-0.0139348	0.0165611	0.00452776	-0.0215174	0.0019795	0.0312351	-0.00871708	-0.021841
WATDE0313	0.0196437	0.0368581	-0.00399855	-0.00602229	0.00630118	-0.0132943	0.0172806	0.00162971	0.00720302	0.0147092
WATDE0315	-0.0164752	-0.0329685	-0.00427577	0.00384802	-0.0293686	-0.0490669	0.0409218	0.0165441	-0.0120833	0.0204084
WATDE0316	-0.0265785	0.0304016	-0.0317076	-0.00436102	-0.0345216	-0.0815184	-0.00574113	-0.0169032	0.00544914	-0.0062007
WATDE0317	0.0281275	0.00893044	-0.00681846	0.0200214	0.000921169	-0.00365061	0.00916756	-0.0141612	-0.0126168	0.032384
WATDE0318	0.0285312	0.00581858	-0.00863452	0.0201044	0.00166783	-0.00258308	0.00516327	-0.0129414	-0.0128962	0.0345593
WATDE0319	0.0274933	0.00339276	-0.0105133	0.0132103	-0.000198751	0.000959337	0.00356778	-0.00813069	-0.012442	0.0348205
WATDE0321	0.0201872	0.0271009	-0.0228181	-0.00575209	-0.00901362	-0.0167683	-0.0243937	-0.0373495	-0.010813	0.0574617
WATDE0323	-0.0282555	0.0194223	0.00453497	-0.00263935	0.0140715	0.0444165	-0.01132	-0.0678492	0.0850388	0.0538085
WATDE0324	0.0151179	-0.115897	-0.10306	-0.189393	-0.108223	0.108971	-0.0135556	0.0243935	0.0541839	-0.0379223
WATDE0325	0.0216804	-1.57E-05	0.0206	-0.0166071	-0.0142348	-0.013052	0.00365917	4.49E-05	-0.0141506	0.0576048
WATDE0328	0.0273195	-0.0213242	0.0193586	0.00546158	-0.0150433	-0.0111552	0.0213018	-0.00542071	-0.000511915	0.0314505
WATDE0329	0.0319898	0.00243056	-0.0235192	0.0274011	-0.00137911	0.0151142	-0.0209453	0.0112781	-0.0039387	-0.0252376
WATDE0331	0.0213407	0.0442941	-0.0121586	-0.0276268	0.00247591	-0.00886572	-0.00881767	-0.0252404	-0.0110349	0.0658218
WATDE0332	0.0100339	0.0255208	0.0476628	-0.0364759	-0.00448584	-0.0178433	0.024157	0.0207183	-0.0456294	0.0277384
WATDE0333	0.00996896	0.025464	0.0476222	-0.0363616	-0.00454252	-0.0179048	0.0241357	0.0206612	-0.0456057	0.0276602
WATDE0334	-0.0283275	0.0194342	0.00456978	-0.00266265	0.0140434	0.0443373	-0.0113201	-0.0677543	0.0850204	0.0538849
WATDE0335	0.0191142	0.0109366	0.0302227	-0.0124069	-0.0136839	-0.0101207	0.00382629	0.0253555	0.00565513	-0.00182853
WATDE0336	0.0258862	-0.00225124	-0.0459397	0.0714737	0.00820988	0.0386049	-0.0829161	0.0665634	-0.0247447	0.00156224
WATDE0337	0.0351078	0.0123346	-0.0320274	0.029186	-0.00295651	0.00966317	-0.0118712	-0.125387	0.00880151	-0.0596508
WATDE0340	0.0240216	0.0372299	-0.0226117	-0.00824386	-0.0021519	-0.00501443	-0.0183917	-0.0346367	-0.0108233	0.0530375
WATDE0342	0.025249	0.0367369	-0.0259401	-0.00995371	-0.00413189	-0.00388627	-0.022674	-0.0502863	-0.0193391	0.0711858
WATDE0343	0.0241024	0.00562117	-0.0430618	0.0457654	0.00706398	0.0255826	-0.046501	0.0209991	-0.0199767	0.0178364
WATDE0344	0.0359944	0.0125735	-0.0261877	0.0282125	-0.000518477	0.00873588	-0.000285951	-0.14244	0.0261459	-0.104214
WATDE0345	0.0360076	0.0125674	-0.0261379	0.0281186	-0.00054799	0.00867169	-0.000305941	-0.142384	0.0261894	-0.104134
WATDE0346	0.0265371	0.0214316	-0.0327544	0.00356492	-0.00439421	0.0041989	-0.0226867	-0.0562204	-0.0245676	0.0560976
WATDE0347	0.0262819	0.0345413	-0.0294263	-0.00816359	-0.00277352	-0.00347101	-0.0212718	-0.0586922	-0.0245928	0.0781009
WATDE0348	0.0285025	0.0330414	-0.0328021	-0.00769456	-0.00346594	-0.00150242	-0.0229554	-0.0677506	-0.0251232	0.0736099
WATDE0350	-0.0187585	-0.00156103	-0.0275257	0.0201417	0.0116421	0.0277303	0.0314546	-0.0220545	-0.00429965	-0.0861065
WATDE0352	0.028651	0.0330658	-0.0329213	-0.00775541	-0.00344113	-0.00133454	-0.0231645	-0.0678272	-0.0251043	0.0736146
WATDE0353	0.0310487	0.00529831	-0.0269479	0.0189363	-0.00593077	0.0150583	-0.0385344	-0.00249844	-0.00789421	-0.00133496
WATDE0354	0.0309973	0.00548218	-0.0268427	0.0187546	-0.00589632	0.0149012	-0.0383939	-0.00254616	-0.00788306	-0.00109708
WATDE0355	0.0213084	0.0507857	-0.00569628	-0.0217118	0.00725473	-0.00903734	0.00800652	-0.012107	-0.0250208	0.0391212
WATDE0356	0.0198922	0.0554682	0.00346618	-0.0324282	0.00988883	-0.0150538	0.0228107	-0.00133632	-0.0301936	0.0420536
WATDE0358	0.0199502	0.0555193	0.00346457	-0.0325243	0.00992494	-0.015016	0.0228282	-0.0013146	-0.0302431	0.0420916
WATDE0359	0.0198613	0.0554633	0.00344563	-0.0324448	0.00987554	-0.0150913	0.0228097	-0.00131652	-0.0301815	0.0420334
WATDE0361	-0.0519913	-0.0039227	-0.0381885	0.00517271	0.0393301	0.0428435	0.0699965	0.0218208	-0.0706716	-0.0360007
WATDE0363	-0.0500695	-0.00384981	-0.0355231	0.00641401	0.0403254	0.0460903	0.0665621	0.021186	-0.0662401	-0.0323768
WATDE0365	-0.0061264	0.0121609	-0.0384213	-0.00930725	0.0138536	0.0291149	0.0220912	-0.03693	-0.06136	-0.0108043
WATDE0366	0.0253831	0.0186655	-0.0133288	0.00734581	-0.000951229	0.00990877	-0.0140806	-0.0221945	-0.00214043	-0.013105
WATDE0368	0.0310069	-0.00163502	0.00213805	0.0118319	0.00437958	-0.0119887	0.0532714	-0.0234151	0.0150545	0.00343895
WATDE0369	0.0203473	0.0454044	0.0127995	-0.0222629	0.00609522	-0.0161452	0.0240448	0.0176666	0.0301861	0.00366216
WATDE0370	0.035707	-0.0216404	-0.017046	0.0480997	0.00455642	0.0106502	0.0235502	-0.0164011	0.0169072	0.00115649
WATDE0371	0.0329838	-0.0677893	0.0288	0.033509	-0.0122888	-0.0176627	0.0718632	-0.0227939	0.016919	0.0464686
WATDE0372	0.0329327	-0.068551	0.0342761	0.0339732	-0.0140904	-0.0192826	0.0826081	-0.0291315	0.0203692	0.0504721
WATDE0373	0.0285661	-0.0451215	0.0299636	0.0177649	-0.0169469	-0.00982896	0.0497928	-0.0151319	0.0122231	-0.0193949
WATDE0374	0.0151808	-0.0256156	0.0323912	-0.00487338	-0.0150978	-0.00964728	0.0223523	0.0172573	0.01275	-0.00696103
WATDE0375	0.0327929	-0.0630038	0.0297442	0.0233677	-0.00763468	-0.0146315	0.0585375	-0.0227573	0.0123282	0.0214955
WATDE0377	0.0246562	-0.0403359	-0.00524115	0.0510812	-9.47E-05	0.0229594	-0.0389405	0.0645919	-0.00392757	0.0248213
WATDE0378	0.0184842	-0.027176	0.0310816	-0.00326865	-0.014972	-0.00464306	0.0286428	0.00851716	-0.00255167	0.0142931
WATDE0379	0.0212327	0.0335091	-0.0228649	0.00235453	-0.00151203	-0.00107806	-0.0252509	-0.0342892	-0.00871307	0.0419008
WATDE0381	0.0189358	-0.0417735	0.0158126	-0.00805532	-0.0112331	0.0116863	0.0534711	0.0122664	-0.0137915	-0.0285807
WATDE0382	0.0224755	0.00231996	-0.0361402	0.0595998	0.00652055	0.0344727	-0.0509656	0.0510423	-0.01413	-0.0053492
WATDE0383	0.0358007	-0.0217294	-0.0170743	0.0481842	0.004584	0.0107237	0.0235318	-0.0163183	0.0169776	0.00112589
WATDE0385	-0.0114675	-0.00180328	-0.0221432	0.0272313	0.0336324	0.0143348	0.0656781	-0.00446297	-0.0384467	-0.004399
WATDE0386	0.00635501	0.00208396	0.0286976	-0.0271178	-0.00853261	-0.00409337	0.0162274	0.0418639	-0.0089657	-0.0182559
WATDE0387	0.0198077	0.0575861	0.00850315	-0.0292364	0.00891924	-0.0133424	0.0100455	0.0330968	0.0275265	-0.0127669
WATDE0389	0.0196424	0.0574578	0.00845558	-0.0290561	0.00885293	-0.0133865	0.0100635	0.0328281	0.0273326	-0.0126855
WATDE0391	0.0102634	0.00588341	0.0377817	-0.0398714	-0.00543762	-0.00450988	0.0357414	0.047032	0.0133303	-0.02826
WATDE0392	-0.00611036	0.00396261	0.0589549	-0.0235307	-0.0145567	-0.00575824	0.00831107	0.0225933	0.0461779	-0.015897
WATDE0394	-0.0163645	0.0181542	0.00337776	-0.0308331	0.0210602	0.0119349	0.0173583	-0.00443045	-0.0093651	-0.00813137
WATDE0396	-0.0718032	-0.0075936	-0.020099	-0.00250462	0.0277736	0.0334122	0.0466332	0.00584375	-0.0425743	-0.0246608
WATDE0397	-0.0853553	-0.00200932	-0.017633	0.00194164	0.0443706	0.0663446	0.0524356	-0.00621841	-0.032908	-0.0156812
WATDE0399	-0.0218785	-0.0186448	0.0148389	0.0157446	0.00514174	0.0226343	0.0247221	-0.0443212	0.0470084	0.0284774
WATDE0401	-0.00502015	-0.00313557	-0.0386876	0.0423178	0.0121393	0.0229347	-0.0178503	0.0398402	-0.013758	0.00598628
WATDE0403	0.0305419	-0.050275	0.0263074	0.0252513	-0.011007	-0.0135124	0.0519896	-0.00530231	-0.00676069	0.0533648
WATDE0404	-0.0400347	-0.0336819	0.0102889	0.0485087	0.0273342	0.0374471	0.0387616	-0.0564276	0.0866016	0.0439838
WATDE0405	-0.060273	-0.00199396	-0.0275809	0.0116332	0.0388063	0.069978	0.0287914	0.00825532	-0.0373582	-0.0266806
WATDE0407	0.0288137	-0.0348446	0.024018	0.0208716	-0.0140883	-0.00774969	0.024589	-0.00991906	-0.00536664	0.00664392
WATDE0408	0.0243127	-0.0468433	0.0138284	0.00775425	-0.0111656	0.00736785	0.0390848	-0.0129004	-0.0196962	-0.0205714
WATDE0409	0.0343729	-0.0662502	0.0320014	0.0330184	-0.00917105	-0.0182337	0.0850884	-0.029901	0.0185574	0.0626228
WATDE0410	0.0345214	-0.066497	0.0320826	0.0330818	-0.00913712	-0.0182085	0.0853581	-0.0299494	0.0186605	0.0628858
WATDE0411	0.0364112	-0.0585986	0.0245645	0.0298478	-0.00995534	-0.0145766	0.0631175	-0.0292226	0.0102581	0.0359903
WATDE0412	0.0281771	-0.0201828	-0.0265684	0.051173	0.00543016	0.0168718	0.00869809	-0.0106299	0.00627036	-0.0914829
WATDE0413	0.0163273	-0.0212628	-0.0193114	0.0169622	0.0183939	4.49E-05	0.00469673	-0.0361445	0.031081	0.0421929
WATDE0415	-0.00701846	-0.0971177	0.00767278	-0.0222116	0.202405	-0.0634008	-0.0752494	0.00450943	0.0264853	0.00329886
WATDE0417	0.0317372	0.00484956	-0.0248419	0.043319	-0.00352309	0.0156131	-0.0423547	0.0206545	-0.015356	0.0101907
WATDE0419	0.0286893	-0.0659166	0.0240345	0.0156744	-0.0125004	-0.0122661	0.0656628	-0.00671157	0.0166889	0.0756363
WATDE0420	0.0206646	-0.0699351	-0.0211356	-0.0336405	0.19638	-0.0803307	-0.0814506	-0.0480282	0.0391561	0.00992897
WATDE0421	0.0192843	-0.0661639	0.00938191	-0.0271121	0.00144668	0.00302611	0.0535513	0.000952059	-0.00602649	0.0403131
WATDE0423	0.0113655	-0.0633324	-0.00742151	-0.0487621	-0.0250505	0.0135339	0.0452307	0.0100128	-0.000995693	0.0175022
WATDE0424	0.0263285	0.0183783	-0.0181342	0.0265154	-0.000823518	0.0196244	-0.0369712	-0.0217344	-0.0072572	-0.0264632
WATDE0425	0.0259885	-0.00228078	-0.0459727	0.0715511	0.0082362	0.0387285	-0.0830991	0.0666812	-0.0247578	0.00150615
WATDE0426	0.0191876	-0.0223547	-0.00553175	0.0607068	-0.00299078	0.0247584	-0.0659417	0.0886737	-0.0276567	0.00421895
WATDE0427	0.0190722	-0.0223249	-0.00552639	0.0605724	-0.00299265	0.024594	-0.0656144	0.0883296	-0.0277111	0.0043479
WATDE0428	0.0249236	-0.000461057	-0.0444134	0.0723505	0.0108022	0.0377348	-0.0845619	0.065937	-0.0250893	0.00970676
WATDE0429	0.0319005	-0.00387372	-0.0252245	0.0517341	0.000151439	0.0199063	-0.0449172	0.0365612	-0.00723426	0.0150632
WATDE0430	0.0301101	-0.00110394	-0.0260997	0.0481306	-0.00480689	0.0173987	-0.0488593	0.0353485	-0.0096129	-0.00485934
WATDE0431	0.037985	-0.0373739	0.0169376	0.0463503	-0.02292	0.000778792	0.02405	0.000901965	0.0082572	-0.165891
WATDE0432	0.0204271	-0.0346512	-0.00294842	0.0542012	-0.00475287	0.0213907	-0.0459806	0.0580738	-0.0234751	0.0098254
WATDE0433	0.0108983	-0.000938581	-0.0185107	0.0508704	0.0122124	0.0123169	0.0165127	-0.00526878	-0.0131119	-0.0844973
WATDE0434	0.0380388	-0.0374916	0.0170272	0.0463746	-0.0230106	0.000811178	0.0240007	0.0010925	0.00842417	-0.166556
WATDE0435	-0.00064609	0.00330501	-0.0436405	0.007964	-0.0052073	0.0370854	-0.024118	-0.00336334	0.00938166	-0.0461915
WATDE0436	0.0206511	-0.0149178	0.0268559	-0.00392248	-0.00994826	-0.00542661	0.0236327	0.0289369	0.00598182	0.00648707
WATDE0438	0.0203542	0.0205547	0.000713023	-0.00708682	0.00775448	-0.00285556	0.0201887	0.00929815	0.0213865	0.0134261
WATDE0439	0.0328023	-0.068134	0.0341135	0.0338718	-0.0139958	-0.0192921	0.0823945	-0.0290593	0.0205056	0.0503612
WATDE0440	0.0256032	-0.00875695	0.0094138	0.01713	0.00584684	-0.0155478	0.0620626	-0.0313287	0.0342062	0.0190428
WATDE0441	0.0274379	-0.0556527	-0.00715343	-0.0253178	-0.0347988	0.0239329	0.00239365	0.0259748	0.0217774	0.00150627
WATDE0442	0.0304542	-0.0382554	0.0205712	0.0200425	-0.0167173	-0.00128138	0.0160699	0.00782509	0.00123029	0.0280628
WATDE0443	0.0207658	-0.0431284	0.0168371	0.00739969	-0.0151133	-0.0125352	0.0101917	0.0192679	0.0182192	0.0111908
WATDE0444	0.0321299	-0.0354312	0.00322896	0.0213496	-0.0150137	0.00826067	-0.00627857	0.00647984	0.00837153	-0.00282308
WATDE0445	0.0263631	-0.0477015	0.0262416	0.0170054	-0.010507	-0.00908034	0.0226885	0.019989	0.0137324	0.0420209
WATDE0446	0.0276207	-0.0429483	0.0176899	0.0170007	-0.00985081	-0.00358529	0.0129951	0.0311908	0.0150414	0.0308568
WATDE0448	0.0253774	-0.0175018	0.0253424	0.000720068	-0.00689466	-0.0087449	0.00880008	0.024829	0.0162169	0.0181592
WATDE0449	0.0318333	-0.0665896	0.022259	0.0110971	0.00587558	-0.0132737	0.0393928	0.00779482	0.0174256	0.041501
WATDE0450	0.0323931	-0.0310273	-0.0221706	0.0127692	0.00499106	0.0104793	0.00615474	0.0027423	0.0155511	0.0309273
WATDE0451	0.019622	-0.0459948	0.00527209	0.011321	-0.0211028	-0.0122454	-0.00595894	0.038107	0.00728534	-0.00755339
WATDE0452	0.0322674	-0.0496438	0.0211494	0.0219208	-0.010773	-0.00926685	0.0274831	0.00132023	0.010076	0.00583774
WATDE0453	0.0277858	-0.0569702	0.024669	0.0147003	-0.00676347	-0.0107138	0.0384204	0.00552255	0.0138571	0.0438385
WATDE0454	0.0139207	-0.0478089	0.0256121	-0.00513509	-0.0141407	-0.0260587	0.0204004	0.0246563	0.0262732	0.020103
WATDE0455	0.0236249	-0.0497402	0.0269584	0.00547789	-0.00293576	-0.013746	0.0317421	0.0140702	0.0222988	0.0210755
WATDE0456	0.000641584	-0.029837	0.0310764	-0.0218293	-0.0204708	-0.02851	0.007411	0.0258776	0.0143953	-0.0112671
WATDE0457	0.0321798	-0.0321048	0.0242681	0.0311978	-0.0211812	-0.00338172	0.0234677	-0.00294263	0.0103796	-0.128351
WATDE0460	0.00375815	-0.0310717	0.0485729	-0.00205043	-0.0210453	-0.00661701	0.0194869	0.00488414	0.00898875	-0.0109695
WATDE0461	0.0136841	-0.0371507	0.0431504	-0.00411729	-0.00938333	-0.0114647	0.0401489	0.0167386	0.0179397	0.0250901
WATDE0462	0.0106474	-0.0396615	0.0313973	-0.0156511	0.00379655	-0.0141632	0.00300038	0.0120614	0.0183371	0.01341
